,,,
"Distribution of Population, Land Area and Population Density by County",,,
Source: 2019 Kenya Population and Housing Census Volume I: Population by County and Sub-County,,,
https://www.knbs.or.ke/?wpdmpro=2019-kenya-population-and-housing-census-volume-i-population-by-county-and-sub-county,,,
"Population, Land area, Population density, County, Kenya",,,
,,,
name,Population,Land Area (Sq. Km),Population Density (No. per Sq. Km)
Kenya,47564296,580876.3,82
Mombasa,1208333,219.9,5495
Kwale,866820,8267.1,105
Kilifi,1453787,12539.7,116
Tana River,315943,37950.5,8
Lamu,143920,6253.3,23
Taita-Taveta,340671,17152,20
Garissa,841353,44736,19
Wajir,781263,56773.1,14
Mandera,867457,25939.8,33
Marsabit,459785,70944.1,6
Isiolo,268002,25350.6,11
Meru,1545714,7006.3,221
Tharaka-Nithi,393177,2564.4,153
Embu,608599,2820.7,216
Kitui,1136187,30429.5,37
Machakos,1421932,6042.7,235
Makueni,987653,8169.8,121
Nyandarua,638289,3285.7,194
Nyeri,759164,3325,228
Kirinyaga,610411,1478.3,413
Murang'a,1056640,2524.2,419
Kiambu,2417735,2538.6,952
Turkana,926976,68232.9,14
West Pokot,621241,9123.2,68
Samburu,310327,21065.1,15
Trans Nzoia,990341,2495.2,397
Uasin Gishu,1163186,3392.2,343
Elgeyo-Marakwet,454480,3032,150
Nandi,885711,2855.8,310
Baringo,666763,10976.4,61
Laikipia,518560,9532.2,54
Nakuru,2162202,7462.4,290
Narok,1157873,17950.3,65
Kajiado,1117840,21871.1,51
Kericho,901777,2436.1,370
Bomet,875689,2530.9,346
Kakamega,1867579,3020,618
Vihiga,590013,563.8,1047
Bungoma,1670570,3023.9,552
Busia,893681,1696.3,527
Siaya,993183,2529.8,393
Kisumu,1155574,2085.4,554
Homa Bay,1131950,3152.5,359
Migori,1116436,2613.5,427
Kisii,1266860,1323,958
Nyamira,605576,897.3,675
Nairobi,4397073,703.9,6247
