,,,
"Distribution of Population by Land Area and Population Density by Sub-County,",,,
Source: 2019 Kenya Population and Housing Census Volume I: Population by County and Sub-County,,,
https://wwwknbsorke/?wpdmpro=2019-kenya-population-and-housing-census-volume-i-population-by-county-and-sub-county,,,
"Population, Land area, Population density, Sub-county, County, Kenya",,,
,,,
National/ County,Population,Land Area (Sq. Km),Population Density (No. per Sq. Km)
Kenya    ,47564296,580876.3,82
Mombasa,1208333,219.9,5495
Changamwe       ,131882,17.7,7457
Jomvu ,163415,36.9,4432
Kisauni        ,291930,87.7,3328
Likoni ,250358,40.5,6187
Mvita,154171,14.6,10543
Nyali,216577,22.5,9610
Kw ale,866820,8267.1,105
Kinango         ,94220,1614,58
Lungalunga        ,198423,2765.2,72
Matuga      ,194252,1032.4,188
Ms am bweni    ,177690,411.7,432
Samburu-Kwale      ,202235,2443.7,83
Kilifi,1453787,12539.7,116
Chonyi,62335,192.6,324
Ganze ,143906,3204.4,45
Kaloleni,193682,706.1,274
Kauma ,22638,181.4,125
Kilifi North,178824,264.4,676
Kilifi South ,206753,290.5,712
Magarini,191610,5229.4,37
Malindi,333226,2263.3,147
Rabai,120813,207.8,581
Tana River,315943,37950.5,8
Tana North,110640,15478.7,7
Tana Delta ,116757,13306.1,9
Tana River,88546,9165.6,10
Lamu,143920,6253.3,23
Lamu East,22258,2336.7,10
Lamu West,121662,3916.6,31
Taita/Taveta,340671,17152,20
Mwatate ,81659,2722.6,30
Taita,55959,477.9,117
Taveta,91222,6398.7,14
Voi,111831,7552.8,15
Garissa,841353,44736,19
Balambala,32257,3684.1,9
Dadaab,185252,6479.8,29
Fafi,134040,15072.9,9
Garissa,163914,3230.7,51
Hulugho ,133984,7733.2,17
Ijara              ,141591,2438.9,58
Lagdera          ,50315,6096.4,8
Wajir             . ,781263,56773.1,14
Buna             . ,49886,3892.8,13
Eldas             .,88509,4444,20
Habaswein           ,174134,1912.5,16
Tarbaj             .,57232,9650.9,6
Wajir East            ,110654,4055.1,27
Wajir North           ,62206,4042.9,15
Wajir South           ,116814,1732.6,11
Wajir West           ,121828,9042.3,13
Mandera             ,867457,25939.8,33
Mandera Wes t         ,98300,4016.9,24
Banisa             ,152598,3942.7,39
Kutulo             ,72394,2509.3,29
Lafey             .,83457,3846.3,22
Mandera Central       ,157220,4031.6,39
Mandera Eas t          ,159638,2505.7,64
Mandera North         ,143850,5087.3,28
Marsabit             ,459785,7944.1,6
Loiyangalani          ,35713,11789.2,3
Mars abit Central       ,79181,2142.8,37
Mars abit North         ,54297,19836.8,3
Mars abit South         ,65376,8447.4,8
Moyale             ,108949,3395.5,32
North Horr           ,71447,19336.7,4
Sololo             ,44822,5995.6,7
Isiolo             . ,268002,25350.6,11
Garbatulla           ,99730,9902,10
Is iolo             .,121066,2691.3,45
Merti             . ,47206,12757.3,4
Meru             . ,1545714,7006.3,221
Buuri East           ,76598,332.9,230
Buuri West           ,80762,638.7,126
Igem be Central       .,221412,604.1,366
Igem be North          ,169317,1076.9,157
Igem be South          ,161646,255.2,633
Im enti North          ,177567,230.8,769
Im enti South          ,206506,413.9,499
Meru Central          ,133818,381.8,350
Tigania Central       .,104730,237.4,441
Tigania East          ,72549,507.9,143
Tigania West          ,139961,398.6,351
Meru National Park*     ,385,868.1,0
Mt. Kenya Fores t*       ,463,1059.9,0
Tharaka-Nithi           ,393177,2564.4,153
Igam bang'om be       ,53210,324.6,164
Maara             ,114894,265.1,433
Meru South           ,91080,138.8,656
Tharaka North         ,58345,838.8,70
Tharaka South         ,75250,637,118
Mt. Kenya Fores t*       ,398,360.1,1
Embu             . ,608599,2820.7,216
Embu East           ,129564,253.3,512
Embu North          ,79556,110.6,719
Embu West           ,127100,158.1,804
Mbeere South          ,163476,1312.1,125
Mbeere North          ,108881,783.6,139
Mt. Kenya Forest*       ,22,203,0
Kitui             . ,1136187,30429.5,37
Ikutha             ,82964,9033.1,9
Katulani            ,47108,323.7,146
Kisasi             ,46142,294.6,157
Kitui Central          ,105991,421.8,251
Kitui West           ,70871,416.4,170
Kyus o             ,76867,2524.5,30
Lower Yatta           ,63329,1191,53
Matinyani            ,47811,264.2,181
Migwani            ,79255,634.5,125
Mum oni            ,29344,611.4,48
Mutitu             .,55287,5359.8,10
Mutitu North           ,21215,548.3,39
Mutom o            ,113356,2202.9,51
Mwingi Central         ,108713,1146.4,95
Mwingi Eas t          ,85139,3418.5,25
Nzam bani           ,46788,319.7,146
Thagicu            ,15136,362.7,42
Tseikuru            ,40871,1356,30
Machakos            ,1421932,6042.7,235
Athi River            ,322499,827.2,390
